 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time          Thread
     65536           63994               3              10            0.01        0.498312        0.007298         2.82843      -0.0102878         24.3173     0.000565604        0.735938               6
     65536           64079               3              10            0.01        0.498239     -0.00451849         2.82843     -0.00978896         24.3178     0.000553387        0.764245               1
     65536           63978               3              10            0.01        0.498314      0.00472072         2.82843     -0.00957446         24.3188     0.000565031        0.749031               3
     65536           63957               3              10            0.01         0.49828     0.000717731         2.82843      -0.0101154         24.3186     0.000545813        0.733323               4
     65536           64017               3              10            0.01         0.49828    -0.000628854         2.82843      -0.0107751         24.3181     0.000576843        0.716197               0
     65536           63985               3              10            0.01        0.498311      0.00623366         2.82843      -0.0110057         24.3191     0.000616546        0.719396               2
     65536           64023               3              10            0.01        0.498281     0.000587609         2.82843      -0.0098407         24.3178     0.000537812        0.715369               5
     65536           64062               3              10            0.01        0.498324      0.00462643         2.82843     -0.00961686         24.3185     0.000553167        0.717797               7
     65536           63983               3              10            0.01        0.498239     -0.00522017         2.82843       -0.010598         24.3193     0.000576575        0.722227               6
     65536           63948               3              10            0.01        0.498284     0.000541338         2.82843      -0.0101169         24.3192      0.00056379        0.716795               1
     65536           63927               3              10            0.01        0.498267      0.00201389         2.82843      -0.0101513         24.3195     0.000579398        0.727674               3
     65536           64026               3              10            0.01        0.498273     -0.00738096         2.82843      -0.0105504         24.3179     0.000552386        0.716621               4
     65536           64029               3              10            0.01        0.498286     -0.00255643         2.82843      -0.0105877         24.3198     0.000581147        0.714097               0
     65536           63946               3              10            0.01        0.498248      -0.0104614         2.82843       -0.011549          24.318     0.000573323         0.71501               2
     65536           63921               3              10            0.01        0.498276     -0.00259916         2.82843     -0.00979046         24.3193     0.000551965        0.714978               5
     65536           64065               3              10            0.01        0.498278     -0.00566197         2.82843      -0.0116378          24.318     0.000576192        0.715735               7
     65536           64017               3              10            0.01        0.498291      -0.0022316         2.82843      -0.0104995          24.318     0.000565848        0.722739               6
     65536           64004               3              10            0.01        0.498279      0.00226006         2.82843      -0.0108576         24.3192       0.0005864        0.719732               1
     65536           64041               3              10            0.01        0.498247    -0.000312586         2.82843      -0.0110213         24.3187      0.00060251        0.728369               3
     65536           64011               3              10            0.01        0.498347      0.00358715         2.82843     -0.00955252         24.3192     0.000548844        0.718095               4
     65536           63950               3              10            0.01        0.498312      0.00794376         2.82843     -0.00993655         24.3197     0.000588825        0.734065               0
     65536           63970               3              10            0.01        0.498353      0.00477908         2.82843      -0.0101286         24.3194     0.000561209        0.741398               2
     65536           63991               3              10            0.01        0.498302    -0.000898277         2.82843     -0.00962526         24.3188     0.000542015        0.742785               5
     65536           63971               3              10            0.01        0.498334      0.00245244         2.82843      -0.0103153         24.3184     0.000560279        0.743142               7
     65536           63988               3              10            0.01        0.498314      0.00306459         2.82843      -0.0106129         24.3188     0.000583946        0.749528               6
     65536           64099               3              10            0.01        0.498256      0.00039991         2.82843      -0.0101962         24.3192     0.000576396        0.743562               1
     65536           64004               3              10            0.01        0.498311      0.00790792         2.82843     -0.00953407         24.3185     0.000564372        0.752938               4
     65536           64048               3              10            0.01         0.49825      -0.0100085         2.82843      -0.0110788         24.3191     0.000589486        0.764289               3
     65536           63934               3              10            0.01        0.498232     -0.00634909         2.82843      -0.0106708         24.3187     0.000575576        0.770879               0
     65536           64004               3              10            0.01        0.498305     -0.00142605         2.82843      -0.0103605         24.3187     0.000566054        0.771776               2
     65536           64054               3              10            0.01        0.498311     -0.00299392         2.82843      -0.0109822         24.3181     0.000564742        0.773468               5
     65536           64055               3              10            0.01         0.49831     -0.00170027         2.82843     -0.00943511         24.3177     0.000524691        0.773714               7
     65536           63998               3              10            0.01        0.498252     -0.00892922         2.82843      -0.0112372          24.319     0.000578026        0.779092               1
     65536           63997               3              10            0.01        0.498283      0.00590463         2.82843      -0.0103632         24.3184     0.000574914        0.783879               6
     65536           64019               3              10            0.01        0.498232     -0.00177472         2.82843      -0.0110544         24.3192     0.000593468         0.78079               4
     65536           63979               3              10            0.01         0.49835       0.0120897         2.82843      -0.0092567          24.318     0.000548561        0.793312               3
     65536           64024               3              10            0.01        0.498296     -0.00762095         2.82843      -0.0110221         24.3191     0.000588061        0.772187               0
     65536           63981               3              10            0.01        0.498319      0.00130072         2.82843     -0.00983227         24.3194     0.000548503        0.771941               2
     65536           64028               3              10            0.01         0.49834       0.0104486         2.82843     -0.00939516         24.3188      0.00056045        0.772424               5
     65536           63985               3              10            0.01        0.498327     0.000199976         2.82843      -0.0102118         24.3181     0.000555213        0.771453               7
     65536           64075               3              10            0.01        0.498224     -0.00617664         2.82843       -0.011081         24.3194     0.000640576        0.772689               6
     65536           63937               3              10            0.01        0.498341      0.00571665         2.82843     -0.00999644         24.3184     0.000542501        0.793545               1
     65536           63965               3              10            0.01        0.498249     -0.00674636         2.82843      -0.0114314          24.319     0.000604274        0.786004               4
     65536           63985               3              10            0.01        0.498229     -0.00707277         2.82843      -0.0105803         24.3177     0.000560107        0.770685               3
     65536           64035               3              10            0.01        0.498372       0.0137939         2.82843     -0.00887625         24.3184     0.000512218        0.770864               0
     65536           64050               3              10            0.01        0.498306     0.000554226         2.82843     -0.00972815         24.3184     0.000535159        0.771633               2
     65536           64015               3              10            0.01        0.498236     -0.00483293         2.82843      -0.0111463         24.3184     0.000686374        0.772068               5
     65536           64001               3              10            0.01        0.498325      3.9823e-05         2.82843     -0.00992496          24.318     0.000543698        0.787494               7
     65536           64041               3              10            0.01        0.498286       0.0137742         2.82843     -0.00944118         24.3191     0.000566857        0.771451               6
     65536           63948               3              10            0.01        0.498284     -0.00359132         2.82843      -0.0107528         24.3186     0.000562865        0.773332               1
     65536           63952               3              10            0.01          0.4983      0.00328782         2.82843      -0.0104669         24.3196     0.000582972        0.774092               3
     65536           64003               3              10            0.01        0.498317      0.00483742         2.82843     -0.00963432         24.3183     0.000571427        0.787158               4
     65536           64001               3              10            0.01        0.498234     -0.00747845         2.82843      -0.0106022         24.3174     0.000555825         0.77116               0
     65536           64006               3              10            0.01        0.498301    -0.000346987         2.82843     -0.00990946         24.3197     0.000542947        0.776726               2
     65536           64038               3              10            0.01        0.498284      0.00378759         2.82843     -0.00922372         24.3185     0.000535231        0.773218               5
     65536           64009               3              10            0.01        0.498324     0.000390604         2.82843      -0.0100172         24.3182     0.000536238        0.770945               7
     65536           63959               3              10            0.01        0.498148      -0.0114943         2.82843      -0.0122365         24.3195     0.000623217        0.771306               6
     65536           63927               3              10            0.01         0.49832      0.00712263         2.82843     -0.00931531         24.3188     0.000554574        0.770333               1
     65536           64017               3              10            0.01        0.498267     -0.00619138         2.82843       -0.010975         24.3198     0.000586154        0.771262               3
     65536           64036               3              10            0.01        0.498268     -0.00474867         2.82843      -0.0109396         24.3183     0.000554332        0.773545               4
     65536           64020               3              10            0.01        0.498309      0.00172513         2.82843     -0.00988711         24.3189     0.000557111        0.771569               0
     65536           64053               3              10            0.01        0.498304      0.00729749         2.82843     -0.00975682         24.3179     0.000572148        0.770919               2
     65536           63975               3              10            0.01        0.498246     -0.00252273         2.82843     -0.00993386         24.3177     0.000541576        0.772818               5
     65536           63953               3              10            0.01         0.49832      0.00190906         2.82843       -0.010325         24.3193     0.000558264        0.770735               7
     65536           63995               3              10            0.01        0.498263      0.00153774         2.82843       -0.010534         24.3192     0.000581135        0.770894               6
     65536           63974               3              10            0.01        0.498249     -0.00385372         2.82843      -0.0105919         24.3184     0.000582432        0.769982               1
     65536           64016               3              10            0.01        0.498329       0.0116212         2.82843      -0.0102478         24.3191     0.000601634        0.770852               3
     65536           63998               3              10            0.01        0.498316     -0.00367678         2.82843      -0.0104405         24.3189     0.000553771        0.781376               4
     65536           64019               3              10            0.01        0.498291      0.00172027         2.82843      -0.0104924         24.3185     0.000567832        0.770225               0
     65536           64025               3              10            0.01        0.498231      -0.0125864         2.82843      -0.0110387         24.3181     0.000557451        0.770756               2
     65536           63965               3              10            0.01        0.498272      0.00233775         2.82843      -0.0104942         24.3184     0.000573416        0.773537               5
     65536           64043               3              10            0.01        0.498301     0.000779144         2.82843     -0.00986743         24.3181     0.000552889        0.783218               7
     65536           63979               3              10            0.01        0.498248     -0.00892233         2.82843      -0.0112548         24.3181     0.000588567        0.771717               6
     65536           63998               3              10            0.01        0.498287      0.00275145         2.82843     -0.00994864         24.3181      0.00055469        0.770698               1
     65536           64022               3              10            0.01        0.498213     -0.00997966         2.82843      -0.0110405         24.3183     0.000571158        0.773347               3
     65536           64023               3              10            0.01        0.498353      0.00139262         2.82843     -0.00936914         24.3181     0.000522152        0.782656               4
     65536           64069               3              10            0.01        0.498274      0.00133562         2.82843      -0.0111862         24.3177     0.000578421        0.771822               0
     65536           64031               3              10            0.01        0.498357       0.0129053         2.82843     -0.00850908         24.3188     0.000527947        0.772123               2
     65536           63950               3              10            0.01        0.498248     -0.00580493         2.82843      -0.0103081         24.3188     0.000542971        0.772424               5
     65536           64015               3              10            0.01        0.498337      0.00642333         2.82843      -0.0100884         24.3191     0.000568092        0.773715               6
     65536           63894               3              10            0.01        0.498294      0.00505785         2.82843      -0.0102012         24.3191     0.000606511        0.778124               7
     65536           64071               3              10            0.01         0.49826      -0.0081793         2.82843      -0.0106751         24.3181     0.000563812        0.771135               1
     65536           63996               3              10            0.01        0.498312      0.00760216         2.82843     -0.00929232          24.318     0.000547039        0.772975               3
     65536           64011               3              10            0.01        0.498339      0.00494067         2.82843     -0.00962703         24.3184     0.000548967        0.774918               4
     65536           64030               3              10            0.01        0.498261      -0.0050965         2.82843      -0.0104804         24.3187     0.000567274        0.771385               0
